  # Edges       # Graphs    OK (no K3,3)  NONEMBEDDABLE
------------  ------------  ------------  -------------
           0             1             1              0  
           1             1             1              0  
           2             2             2              0  
           3             5             5              0  
           4            11            11              0  
           5            26            26              0  
           6            67            67              0  
           7           172           172              0  
           8           467           467              0  
           9          1305          1304              1  
          10          3664          3660              4  
          11         10250         10225             25  
          12         28259         28108            151  
          13         75415         74471            944  
          14        192788        186965           5823  
          15        467807        434696          33111  
          16       1069890        909557         160333  
          17       2295898       1660599         635299  
          18       4609179       2574581        2034598  
          19       8640134       3319556        5320578  
          20      15108047       3499929       11608118  
          21      24630887       2973476       21657411  
          22      37433760       2000850       35432910  
          23      53037356       1045199       51992157  
          24      70065437        412001       69653436  
          25      86318670        118507       86200163  
          26      99187806         23427       99164379  
          27     106321628          2961      106318667  
          28     106321628           179      106321449  
          29      99187806             0       99187806  
          30      86318670             0       86318670  
          31      70065437             0       70065437  
          32      53037356             0       53037356  
          33      37433760             0       37433760  
          34      24630887             0       24630887  
          35      15108047             0       15108047  
          36       8640134             0        8640134  
          37       4609179             0        4609179  
          38       2295898             0        2295898  
          39       1069890             0        1069890  
          40        467807             0         467807  
          41        192788             0         192788  
          42         75415             0          75415  
          43         28259             0          28259  
          44         10250             0          10250  
          45          3664             0           3664  
          46          1305             0           1305  
          47           467             0            467  
          48           172             0            172  
          49            67             0             67  
          50            26             0             26  
          51            11             0             11  
          52             5             0              5  
          53             2             0              2  
          54             1             0              1  
          55             1             0              1  
     Totals     1018997864      19281003      999716861  
